buyer_id,user_id,name,email,join_date,batch_loaded_at
1fa494edd43649e6bedcdefbe0b5a70e,91a9d74f20b54548975e12be7d31c0a4,Zachary Vargas PhD,zachary.vargas.phd@outlook.com,2023-08-25,2025-05-27 15:25:59.000
75ef896876dd46bc925da902ab842b93,f7e5913fe7784f22bbbc591a697f70bc,Patricia Vincent,patricia.vincent@outlook.com,2025-01-20,2025-05-25 15:25:59.000
7fe867ef26504282ab4fb6b507727de0,78a25814f05d41e8b598ed2302699f8d,Rose Mclaughlin,rose.mclaughlin@outlook.com,2023-10-29,2025-05-27 15:25:59.000
6f5d0e06d4d9429a8a42ba4059f7ff05,6a2cd74608ae4730847d95cf2f131090,James Silva,james.silva@outlook.com,2024-02-24,2025-05-25 15:25:59.000
5a319d691e154a128bdd4847b0f5479c,ac26a8dba08b40958c7c0496cdc5be29,Heather Smith,heather.smith@outlook.com,2020-08-08,2025-05-25 15:25:59.000
b1df7fc7288f476e9288079d31b6a797,8a0c95bbc3e541aa96aeeac1dbc472ab,Karen Thomas,karen.thomas@outlook.com,2022-03-16,2025-05-26 15:25:59.000
5de44d232bba4a7e9213c0c269b04d5a,da6adfcef6204a5da9281095f9de9d01,Andrew Williams,andrew.williams@outlook.com,2024-12-04,2025-05-26 15:25:59.000
f99b8e09b3924c47a9e33a5553cb1c55,ea45e4c3080e4a389eafffd4225b9361,Jennifer Miller,jennifer.miller@outlook.com,2020-08-18,2025-05-27 15:25:59.000
95eab5ad94174b8590b4c987554af22a,5fe68089337543eead2c55dc4f6fbd14,Ricky Diaz,ricky.diaz@outlook.com,2024-06-25,2025-05-27 15:25:59.000
6364daafb40140afa345f9dd8c0602a3,cd6a99adee6344348c92821709adc2c3,Yvonne Burns,yvonne.burns@outlook.com,2021-07-10,2025-05-25 15:25:59.000
94525613772849ffa18e403aad433b68,fad9fed518d34882a48dbd4c43f64bae,Alex Ramirez,alex.ramirez@outlook.com,2024-06-26,2025-05-27 15:25:59.000
4e500f32022f419e8e40adbfd085be0f,1bb8f8f878b2421ba89b1a5f6cf5a06b,Susan Hutchinson,susan.hutchinson@outlook.com,2025-01-21,2025-05-27 15:25:59.000
083f5e7c0d614aa4bd1ae210d264654d,4295715e5e4e4f29b67cee99ae6fb249,Robert Hicks,robert.hicks@outlook.com,2022-05-27,2025-05-27 15:25:59.000
c21e7ef29a354359a4c224a891b68709,9b9fc84bb8d04be98309dbc75b4e7802,Carrie Ware,carrie.ware@outlook.com,2024-10-12,2025-05-25 15:25:59.000
a49ebbe5aa5743969efda3fac3c33e2a,80290b9cdf9947c2877537f26b0f978b,Chad Williams,chad.williams@outlook.com,2022-12-02,2025-05-25 15:25:59.000
4b669b8b0bf446de887341d1bfa736df,b2cbfaf74d0549a590add00eb55be253,Ms. Kelly Holder,ms..kelly.holder@outlook.com,2020-08-19,2025-05-25 15:25:59.000
df9ba82a7ea54bad9fe3ca8742d87170,76d326cf72ac450c874f67438545b4b8,Tracy Montoya,tracy.montoya@outlook.com,2022-01-30,2025-05-26 15:25:59.000
7ea609a5d051423e81833ddb4320a2cf,3ff9d68904fe42278b65fe073ccc19f3,Anthony Ward,anthony.ward@outlook.com,2023-12-09,2025-05-25 15:25:59.000
395804803e714537ab347fd04ca361a0,7bf205d0531744bbb209733c5746e3ba,Christopher Miranda,christopher.miranda@outlook.com,2023-12-02,2025-05-25 15:25:59.000
f85777e3e639482c904c4409fd66c3c6,9005ed24cea84d2d8705006ddd592c3a,John Bell,john.bell@outlook.com,2020-09-02,2025-05-27 15:25:59.000
8fc770f855664a109ab4d6ad8c33faac,b79c8eb37afe4002a43d8fb5e7a35d07,Scott Lopez,scott.lopez@outlook.com,2021-05-16,2025-05-27 15:25:59.000
5fde64aeb0c74b4d9e8bff22e26e0b59,0127a8cbe1204e9bb6947ae2fda2d302,David Perkins,david.perkins@outlook.com,2025-01-10,2025-05-25 15:25:59.000
5ad9be6e8cd447b9844dc7a83b713954,0438d2e5781948acae75ba59dd1c289c,Chris Butler,chris.butler@outlook.com,2024-02-21,2025-05-26 15:25:59.000
fcaf73ed2d544c43b17c59ac2e3e1adb,a1e39a22dc5b4981b6484c6f7ee3ece5,Kelly May,kelly.may@outlook.com,2020-07-02,2025-05-25 15:25:59.000
