seller_id,user_id,name,email,join_date,rating,batch_loaded_at
7402907e993a490d8a4c1dc3710f9b63,c0b7aade1ebb4e2291dc05cc3e3ee8b1,Allison Hill,allison.hill@mail.com,2021-07-07,4.8,2025-05-20 15:47:44.341306
4228c95580aa4b4ea22fe06944a58057,2755ff6c8cf74564b90015871a8b1c59,Megan Mcclain,megan.mcclain@example.com,2020-10-31,3.4,2025-05-20 15:47:44.341306
5766d6b529ac4099a47076b77f05cf84,345367a4d0724e679b0401a4a7f8315c,Allen Robinson,allen.robinson@email.net,2022-12-05,4.0,2025-05-20 15:47:44.341306
6dfcac5d6c9d4364896494cf766e0459,c8ee786409af4b06b9541c128d4ba948,Cristian Santos,cristian.santos@example.com,2023-02-15,4.1,2025-05-20 15:47:44.341306
7567070d84c94e61b4cca8585b100e28,48d9b3753d75416eafc2eddc4eecf764,Kevin Pacheco,kevin.pacheco@example.com,2020-06-06,4.7,2025-05-20 15:47:44.341306
2539f53a93324da1b3003f62638d0f2d,887b3a04fe5e4ffeb7950cdd43c9c72c,Melissa Peterson,melissa.peterson@mail.com,2021-03-06,4.0,2025-05-20 15:47:44.341306
def51f208a0b42ec8cef46b85f457010,8fb1494decd44a9aa1cabcfae904dc72,Gabrielle Davis,gabrielle.davis@mail.com,2020-11-18,4.1,2025-05-20 15:47:44.341306
7458369355e643d6bf20a93516d308f8,7346ca0b1d7d497b90cb227bad4a1472,Lindsey Roman,lindsey.roman@mail.com,2024-01-19,4.6,2025-05-20 15:47:44.341306
089e9e40cdd34b42a0e2fb6b0143494c,1b1c4db02abe4246bb8bd95026fc1d96,Valerie Gray,valerie.gray@mail.com,2023-02-28,4.7,2025-05-20 15:47:44.341306
76397b63afff4695af47129ddcd7f8ee,17d84ea5ec6b468c8c9c00e6399841d0,Lisa Hensley,lisa.hensley@email.net,2023-04-15,3.3,2025-05-20 15:47:44.341306
8927791837a04d849670c17b1237804d,c4b06544d1b44cae9488b17d033d4c11,Amber Perez,amber.perez@example.com,2021-11-05,4.0,2025-05-20 15:47:44.341306
a3e7629a91e24e9184c7ef555417e9b7,278948e4b68e4b578819df735d57b26d,David Garcia,david.garcia@mail.com,2021-10-15,4.5,2025-05-20 15:47:44.341306
2d49e4fa336440f180447431acf8f9fb,f35368e4d0c64c3888165e749c8fb306,Holly Wood,holly.wood@email.net,2021-06-12,3.9,2025-05-20 15:47:44.341306
7f15411ed55d4026a2f0c8004c3f7ce6,40fb84d414554ea99dbd623c0d9ced14,Timothy Wong,timothy.wong@email.net,2023-06-12,3.7,2025-05-20 15:47:44.341306
8cdfa11379ff477e8fcc8d3eb52cf7ca,19c0f9c65cd14c06b25ecd3d28d901c8,Nicholas Martin,nicholas.martin@email.net,2022-04-19,4.3,2025-05-20 15:47:44.341306
b3cda7553a5141e0b15e810187917960,f56242e7abec41b2aaff19b9cd474938,Margaret Hawkins DDS,margaret.hawkins.dds@mail.com,2024-08-12,3.8,2025-05-20 15:47:44.341306
a6c176874a7742859a2b5fd5d1d2c961,4ee4eb1ea7d9472bb54b5f09e2997e04,Crystal Johnson,crystal.johnson@mail.com,2021-12-23,3.7,2025-05-20 15:47:44.341306
14d0ded72e1d499794af0949fe467662,69942b663e874ee38a1c151911a3def8,Daniel Hahn,daniel.hahn@example.com,2024-10-13,4.9,2025-05-20 15:47:44.341306
686441d6be6f47cc83d334837c2e3f79,425d9f7c9b1f42ef8405f611f3642b43,Matthew Foster,matthew.foster@mail.com,2024-12-21,4.5,2025-05-20 15:47:44.341306
